Item Description,Item #,Inv Date,UOM ,Qty ,Sum of extprice,
,,25-Aug-15,CS,1,$45.25,FL
,,17-Aug-15,CS,1,$45.25,FL
EGGS LARGE 15 DZ USA Total,,,,33,"$1,491.00",
EGGS LARGE 30 DZ USA,7920,20-Aug-15,CS,1,$87.55,FL
EGGS LARGE 30 DZ USA Total,,,,1,$87.55,
GRAPES GREEN SEEDLESS,1760,20-Aug-15,CS,3,$77.07,CA
,,31-Aug-15,CS,1,$28.43,CA
,,25-Aug-15,CS,4,$87.72,CA
GRAPES GREEN SEEDLESS Total,,,,8,$193.22,
HONEYDEW 5/6 CT,1820,20-Aug-15,EACH,12,$76.80,CA
HONEYDEW 5/6 CT Total,,,,12,$76.80,
KALE GREEN 24 CT USA,2140,20-Aug-15,6 EA,1,$6.24,SC
,,20-Aug-15,CS,22,$306.90,SC
,,20-Aug-15,EA,37,$109.15,SC
,,31-Aug-15,CS,3,$67.35,SC
,,31-Aug-15,EA,8,$26.96,SC
,,27-Aug-15,CS,4,$111.80,SC
,,27-Aug-15,EA,5,$18.25,SC
,,21-Aug-15,CS,0,$0.00,SC
,,25-Aug-15,CS,6,$167.70,SC
,,25-Aug-15,EA,4,$14.60,SC
KALE GREEN 24 CT USA Total,,,,90,$828.95,
LEMONS 165 CT,1640,20-Aug-15,CS,1,$34.78,CA
,,20-Aug-15,DOZ,5,$24.65,CA
,,31-Aug-15,DOZ,1,$4.89,CA
,,27-Aug-15,DOZ,4,$19.72,CA
,,25-Aug-15,DOZ,1,$4.93,CA
,,17-Aug-15,DOZ,1,$4.93,CA
LEMONS 165 CT Total,,,,13,$93.90,
"LETTUCE 1/8"" SHRED 4/5 LB",6180,20-Aug-15,CS,8,$127.28,CA
,,20-Aug-15,EACH,9,$56.07,CA
,,31-Aug-15,CS,2,$43.18,CA
,,31-Aug-15,EACH,1,$7.65,CA
,,27-Aug-15,CS,4,$86.36,CA
,,27-Aug-15,EACH,2,$15.30,CA
,,21-Aug-15,CS,2,$31.82,CA
,,25-Aug-15,CS,6,$129.54,CA
,,25-Aug-15,EACH,1,$7.65,CA
,,04-Aug-15,CS,1,$19.59,CA
,,04-Aug-15,EACH,2,$14.30,CA
"LETTUCE 1/8"" SHRED 4/5 LB Total",,,,38,$538.74,
LETTUCE SWEET SPRING MIX 3/1 LB,2220,20-Aug-15,CS,1,$9.51,CA
,,27-Aug-15,CS,3,$31.59,CA
LETTUCE SWEET SPRING MIX 3/1 LB Total,,,,4,$41.10,
ONIONS RED JUMBO 25 LB,4810,20-Aug-15,5 #,3,$20.58,CA
,,20-Aug-15,CS,1,$18.45,CA
,,31-Aug-15,5 #,1,$6.93,CA
,,31-Aug-15,CS,1,$18.73,CA
,,27-Aug-15,5 #,1,$6.93,CA
,,25-Aug-15,5 #,2,$13.86,CA
ONIONS RED JUMBO 25 LB Total,,,,9,$85.48,
ONIONS YELLOW JUMBO ROUND 50 LB,4850,20-Aug-15,5 #,18,$84.24,CA
,,20-Aug-15,CS,1,$21.88,CA
,,31-Aug-15,5 #,1,$4.37,CA
,,27-Aug-15,5 #,3,$13.65,CA
,,21-Aug-15,5 #,1,$4.68,CA
,,25-Aug-15,5 #,4,$18.20,CA
,,25-Aug-15,CS,2,$41.32,CA
,,17-Aug-15,5 #,1,$4.68,CA
ONIONS YELLOW JUMBO ROUND 50 LB Total,,,,31,$193.02,
PEARS BARTLETT  90,1880,20-Aug-15,CS,4,$110.20,WA
PEARS BARTLETT  90 Total,,,,4,$110.20,
PEPPER GREEN LARGE 1-1/9 BU,2820,20-Aug-15,5 #,18,$126.90,FL
,,20-Aug-15,CS,9,$172.80,FL
,,31-Aug-15,5 #,3,$21.24,NJ
,,27-Aug-15,5 #,5,$35.25,NJ
,,21-Aug-15,5 #,1,$7.05,FL
,,21-Aug-15,CS,-1,-$19.20,FL
,,25-Aug-15,5 #,5,$35.25,NJ
,,25-Aug-15,CS,1,$19.20,NJ
,,17-Aug-15,5 #,1,$7.05,FL
PEPPER GREEN LARGE 1-1/9 BU Total,,,,42,$405.54,
PEPPER RED 1-1/9 BU,2870,20-Aug-15,2 #,2,$9.68,AZ
,,31-Aug-15,2 #,1,$6.50,AZ
,,27-Aug-15,2 #,1,$6.25,AZ
PEPPER RED 1-1/9 BU Total,,,,4,$22.43,
PINEAPPLE GOLDEN 6/7 CT COSTA RICA,1960,27-Aug-15,CS,1,$13.95,COSTA RICA
,,04-Aug-15,CS,1,$13.95,COSTA RICA
PINEAPPLE GOLDEN 6/7 CT COSTA RICA Total,,,,2,$27.90,
POTATOES IDAHO 080 CT,4308,20-Aug-15,CS,2,$31.64,ID
,,31-Aug-15,5 #,10,$43.50,ID
,,31-Aug-15,CS,1,$18.88,ID
POTATOES IDAHO 080 CT Total,,,,13,$94.02,
POTATOES IDAHO 100 CT CARTON,4310B,20-Aug-15,CS,1,$15.59,ID
,,31-Aug-15,CS,9,$138.06,ID
,,27-Aug-15,CS,7,$109.13,ID
POTATOES IDAHO 100 CT CARTON Total,,,,17,$262.78,
RADISH RED 14/1 LB,3007,20-Aug-15,EA,2,$6.80,MI
,,31-Aug-15,EA,1,$3.38,MI
RADISH RED 14/1 LB Total,,,,3,$10.18,
ROMAINE 24 CT,2270,20-Aug-15,CS,3,$81.33,CA
ROMAINE 24 CT Total,,,,3,$81.33,
ROMAINE CHOPPED 6/2 LB,6300,20-Aug-15,CS,40,$691.20,CA
,,20-Aug-15,EACH,6,$30.78,CA
,,31-Aug-15,CS,13,$260.78,CA
,,27-Aug-15,CS,17,$341.02,CA
,,21-Aug-15,CS,6,$103.68,CA
,,25-Aug-15,CS,7,$140.42,CA
,,17-Aug-15,EACH,1,$5.13,CA
ROMAINE CHOPPED 6/2 LB Total,,,,90,"$1,573.01",
SALAD SEPARATE W/COLOR 4/5 LB,6340,20-Aug-15,CS,7,$110.95,CA
,,27-Aug-15,CS,1,$18.16,CA
,,25-Aug-15,CS,2,$36.32,CA
,,04-Aug-15,CS,1,$16.72,CA
SALAD SEPARATE W/COLOR 4/5 LB Total,,,,11,$182.15,
SPINACH 4/2.5 LB,2320,20-Aug-15,EACH,2,$15.16,CA
,,25-Aug-15,CS,1,$20.45,CA
SPINACH 4/2.5 LB Total,,,,3,$35.61,
TOMATOES 6X6 25 LB,5880,20-Aug-15,5 #,15,$109.50,TN
,,20-Aug-15,CS,17,$343.06,TN
,,31-Aug-15,CS,5,$100.65,TN
,,27-Aug-15,5 #,5,$37.60,TN
,,27-Aug-15,CS,2,$42.18,TN
,,21-Aug-15,CS,1,$20.18,TN
,,25-Aug-15,5 #,2,$15.04,TN
,,25-Aug-15,CS,3,$63.27,TN
,,04-Aug-15,5 #,3,$22.44,TN
,,17-Aug-15,CS,1,$20.18,TN
TOMATOES 6X6 25 LB Total,,,,54,$774.10,
TOMATOES CHERRY 12/1 PINT,5820,20-Aug-15,CS,8,$171.52,FL
,,20-Aug-15,EACH,5,$21.95,FL
,,31-Aug-15,EACH,3,$13.89,GA
,,27-Aug-15,CS,2,$44.82,GA
,,27-Aug-15,EACH,3,$13.47,GA
,,25-Aug-15,CS,1,$22.41,FL
TOMATOES CHERRY 12/1 PINT Total,,,,22,$288.06,
TOMATOES GRAPE 12/1 PINT,5840,20-Aug-15,CS,4,$71.60,FL
,,20-Aug-15,EACH,7,$26.18,FL
,,31-Aug-15,CS,2,$36.88,GA
,,27-Aug-15,CS,3,$49.35,GA
,,21-Aug-15,CS,1,$17.90,FL
,,25-Aug-15,CS,5,$82.25,FL
,,04-Aug-15,CS,1,$14.44,GA
TOMATOES GRAPE 12/1 PINT Total,,,,23,$298.60,
WATERMELON SEEDLESS 45 CT BIN,1842,04-Aug-15,EACH,2,$13.64,FL
WATERMELON SEEDLESS 45 CT BIN Total,,,,2,$13.64,
GRAPES RED SEEDLESS,1750,20-Aug-15,2 #,1,$5.46,CA
,,20-Aug-15,CS,9,$231.21,CA
,,27-Aug-15,CS,5,$120.90,CA
,,25-Aug-15,CS,3,$72.54,CA
