Date,Month,Year,Year-Month,Invoice #,Farm,Specific Product,General Product,Unit,Packaging,Weight (lbs),Count,Quantity,Price per unit,Total Pounds,Total Cost,Notes,,,,,
5/8/2015,5,2015,2015-5,34,Loften Greenhouse,Sweet banana peppers,Peppers,lb,Greenhouse,1,1,1,0.56,1,0.56,,,,,,
5/11/2015,5,2015,2015-5,35,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,12,0.64,12,7.68,,,,,,
5/12/2015,5,2015,2015-5,45,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,1,1,73,1,73,73,,,,,,
5/12/2015,5,2015,2015-5,36,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,13,0.64,13,8.32,,,,,,
5/12/2015,5,2015,2015-5,40,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,55,0.64,55,35.2,,,,,,
5/16/2015,5,2015,2015-5,,D&J Blueberry Farms,blueberries,Blueberries,lb,Greenhouse,1,1,200,4.25,200,850,Plus 10 free,,,,,
5/20/2015,5,2015,2015-5,,D&J Blueberry Farms,blueberries,Blueberries,lb,Greenhouse,1,1,480,4.25,480,2040,Plus 50 free,,,,,
5/20/2015,5,2015,2015-5,,The Family Garden,strawberry/blueberry cartons,Misc,each,,,,150,1.08,0,162,,,,,,
5/21/2015,5,2015,2015-5,,D&J Blueberry Farms,blueberries,Blueberries,lb,Greenhouse,1,1,550,4.25,550,2337.5,Plust 25 free,,,,,
12/30/2014,12,2014,2014-12,6,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,50,0.64,50,32,invoice says 29.48,,,,,
1/9/2015,1,2015,1/1/2015,60867,Produce Barn and Grove,Satsumas,Satsumas,lb,crate,16.875,54,38,10.4444,641.25,396.8872,invoice by count says 394.00,,,,,
