Date,Month,Year,Year-Month,Invoice #,Farm,Specific Product,General Product,Unit,Packaging,Weight (lbs),Count,Quantity,Price per unit,Total Pounds,Total Cost,Notes,,,,,
4/18/2015,4,2015,2015-4,0,Henderson and Daughter,Valencia Oranges,Oranges,each,Bag,1,1,32,0.5,4,16,to Irby 4/20,,,,,
4/22/2015,4,2015,2015-4,,The Family Garden,Organic Leaf Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
4/22/2015,4,2015,2015-4,,The Family Garden,Organic Romaine Lettuce,Lettuce,lb,Crate,1,24,10,26.5,240,265,,,,,,
4/24/2015,4,2015,2015-4,24,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,1,1,13,1,13,13,,,,,,
4/30/2015,4,2015,2015-4,30,Loften Greenhouse,Sweet banana peppers,Peppers,lb,Greenhouse,1,1,2,0.56,2,1.12,,,,,,
5/6/2015,5,2015,2015-5,33,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,1,1,67,1,67,67,,,,,,
5/6/2015,5,2015,2015-5,31,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,29,0.64,29,18.56,,,,,,
5/8/2015,5,2015,2015-5,34,Loften Greenhouse,Sweet banana peppers,Peppers,lb,Greenhouse,1,1,1,0.56,1,0.56,,,,,,
5/11/2015,5,2015,2015-5,35,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,12,0.64,12,7.68,,,,,,
5/12/2015,5,2015,2015-5,45,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,1,1,73,1,73,73,,,,,,
5/12/2015,5,2015,2015-5,36,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,13,0.64,13,8.32,,,,,,
5/12/2015,5,2015,2015-5,40,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,55,0.64,55,35.2,,,,,,
5/16/2015,5,2015,2015-5,,D&J Blueberry Farms,blueberries,Blueberries,lb,Greenhouse,1,1,200,4.25,200,850,Plus 10 free,,,,,
5/20/2015,5,2015,2015-5,,D&J Blueberry Farms,blueberries,Blueberries,lb,Greenhouse,1,1,480,4.25,480,2040,Plus 50 free,,,,,
5/20/2015,5,2015,2015-5,,The Family Garden,strawberry/blueberry cartons,Misc,each,,,,150,1.08,0,162,,,,,,
5/21/2015,5,2015,2015-5,,D&J Blueberry Farms,blueberries,Blueberries,lb,Greenhouse,1,1,550,4.25,550,2337.5,Plust 25 free,,,,,
12/30/2014,12,2014,2014-12,6,Loften Greenhouse,Mixed lettuce,Lettuce,lb,Greenhouse,1,1,50,0.64,50,32,invoice says 29.48,,,,,
1/9/2015,1,2015,2015-1,60867,Produce Barn and Grove,Satsumas,Satsumas,lb,crate,16.875,54,38,10.4444,641.25,396.8872,invoice by count says 394.00,,,,,
9/28/2015,9,2015,2015-9,1,Frog Song Organics,Calaloo,Calaloo,lb,crate,32,1,3,32,39,96,,,,,,
10/27/2015,10,2015,2015-10,2015-001,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,1,1,32,1,32,32,,,,,,
10/13/2015,10,2015,2015-10,2015-001,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,32,1,32,1,32,32,,,,,,
10/23/2015,10,2015,2015-10,2015-002,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,35,1,35,1,35,35,,,,,,
10/23/2015,10,2015,2015-10,2015-002,Loften Greenhouse,Mixed Lettuce,Lettuce,lb,Greenhouse,1,1,57,0.64,57,36.48,,,,,,
10/27/1015,10,2015,2015-10,2015-003,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,5,1,5,1,5,5,,,,,,
10/29/2015,10,2015,2015-10,2015-004,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,41,1,41,1,41,41,,,,,,
10/29/2016,10,2015,2015-10,2015-004,Loften Greenhouse,Mixed Lettuce,Lettuce,lb,Greenhouse,1,1,57,0.67,57,38.19,,,,,,
11/5/2015,11,2015,2015-11,2015-005,Loften Greenhouse,Beit Alpha Cucumbers,Cucumbers,lb,Greenhouse,35,1,35,1,35,35,,,,,,
11/5/2015,11,2015,2015-11,2015/005,Loften Greenhouse,Mixed Lettuce,Lettuce,lb,Greenhouse,1,1,42,0.67,42,28.14,,,,,,
11/12/2015,11,2015,2015-11,2015-006,Loften Greenhouse,Mixed Lettuce,Lettuce,lb,Greenhouse,1,1,4,0.67,4,2.68,,,,,,
11/13/2015,11,2015,2015-11,2015-007,Loften Greenhouse,Mixed Lettuce,Lettuce,lb,Greenhouse,1,1,25,0.67,25,16.75,,,,,,
11/30/2015,11,2015,2015-11,2015-008,Loften Greenhouse,Mixed Lettuce,Lettuce,lb,Greenhouse,1,1,54,0.67,54,36.18,,,,,,
12/4/2015,12,2015,2015-12,2015-009,Loften Greenhouse,Mixed Lettuce,Lettuce,lb,Greenhouse,1,1,39,0.67,39,26.13,,,,,,
12/10/2015,12,2015,2015-12,2015-010,Loften Greenhouse,Mixed Lettuce,lettuce,lb,Greenhouse,1,1,27,0.67,27,18.09,,,,,,
12/9/2015,12,2015,2015-12,3948,Frog Song Organics,Organic Mixed Lettuce,lettuce,lb,crate,1,24,1,32,24,32,,,,,,
12/10/2015,12,2015,2015-12,PBG000344,Produce Barn and Grove,Satsumas,Oranges,lb,1/2 bushel,20,,10,7.2,200,72,,,,,,
12/7/2015,12,2015,2015-12,PBG000341,Produce Barn and Grove,Satsumas,Oranges,lb,1/2 bushel,20,,62,7.2,1240,446.4,,,,,,
1/6/2016,1,2016,2016-1,1,KYV,Organic Romaine,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
1/6/2016,1,2016,2016-1,1,KYV,Organic Red leaf ,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
1/13/2016,1,2016,2016-1,2,KYV,Organic Red leaf ,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
1/13/2016,1,2016,2016-1,2,KYV,Organic Romaine,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
1/20/2016,1,2016,2016-1,3,KYV,Organic Red Leaf,lettuce,lb,crate,1,24,10,29,240,290,,,,,,
